extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
CPTAC,cpcat,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Clinical Proteomic Tumor Analysis Consortium Data Portal,,,http://actor.epa.gov/cpcat,epa.gov,False,2.0,0.0,LOW
DEG,deer,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Database of Essential Genes,http://www.essentialgene.org,essentialgene.org,http://bsb.kiz.ac.cn:90/DEER,ac.cn:90,False,2.0,0.16,LOW
Loqusdb,lotus-db,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Local Observations Quantitative Database,,,http://lotus-db.wbgcas.cn,wbgcas.cn,False,2.0,0.0,LOW
NewProt,nextprot,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,New Protein Engineering Portal,http://newprot.cmbi.umcn.nl/,umcn.nl,http://www.nextprot.org,nextprot.org,False,2.0,0.44,LOW
3DSwap,3dsnp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,3D Domain Swapping Knowledgebase,,,http://biotech.bmi.ac.cn/3dsnp,ac.cn,False,2.0,0.0,LOW
g2pDB,g6pd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Genomic to Protein Database,,,http://202.120.189.88/mutdb,189.88,False,2.0,0.0,LOW
iGMDR,igdd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Pharmacogenetic Resource,https://igmdr.modellab.cn,modellab.cn,http://bio.njfu.edu.cn/igdd,edu.cn,False,2.0,0.27,LOW
CCMRD,ccgd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Carbohydrate NMR Database,http://www.ccmrd.org,ccmrd.org,http://ccgd-starrlab.oit.umn.edu,umn.edu,False,2.0,0.29,LOW
PlantMP,plantafp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Plant Moonlighting Proteins Database,,,http://bioinformatics.cimap.res.in/sharma/PlantAFP,res.in,False,2.0,0.0,LOW
MedNar,medas,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Medical Deep Web Database,,,http://das.chenlulab.com,chenlulab.com,False,2.0,0.0,LOW
mTFkb,mtb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Mouse Transcription Factors Knowledgebase,,,http://tumor.informatics.jax.org,jax.org,False,2.0,0.0,LOW
RTFBSDB,rtfadb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Transcription Factor Binding Site Database,,,http://tools.ibg.deu.edu.tr/rtfa,edu.tr,False,2.0,0.0,LOW
CoagVDb,coevdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Coagulation Factors Database,,,http://phylodb.unil.ch/CoevDB,unil.ch,False,2.0,0.0,LOW
MGeND,mgdd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Japanese Clinical Genomic Database,,,http://mgdd.pasteur.ma,pasteur.ma,False,2.0,0.0,LOW
sdAb-DB,sdadb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Single Domain Antibody Database,http://www.sdab-db.ca,sdab-db.ca,http://sda.denglab.org,denglab.org,False,2.0,0.48,LOW
PlantFAdb,plantordb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Plant Fatty Acid Database,,,http://bioinfolab.miamioh.edu/plantordb,miamioh.edu,False,2.0,0.0,LOW
WGDB,wgvd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Wood Gene Database,http://www.wgdb.in,wgdb.in,http://animal.nwsuaf.edu.cn/code/index.php/Wheat,edu.cn,False,2.0,0.21,LOW
dbCRY,dbcat,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Cryptochrome Database,http://www.dbcryptochrome.org/,dbcryptochrome.org,http://dbcat.cgm.ntu.edu.tw,edu.tw,False,2.0,0.42,LOW
BASS,bard,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Bicolor Affective Silhouettes and Shapes,https://osf.io/anej6/,osf.io,http://bard.nih.gov,nih.gov,False,2.0,0.08,LOW
DMAK,dmd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,DNA Methylation Annotation Knowledgebase,,,http://sbbi.unl.edu/dmd,unl.edu,False,2.0,0.0,LOW
A2ID,a2mdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Aromatic-Aromatic Interactions Database,http://203.199.182.73/gnsmmg/databases/aidb/aidb.html,182.73,http://www.iictindia.org/A2MDB,iictindia.org,False,2.0,0.18,LOW
CDEK,cdp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Clinical Drug Experience Knowledgebase,,,http://celldeathproteomics.uio.no,uio.no,False,2.0,0.0,LOW
SASBDB,sabdab,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Small Angle Scattering Biological Data Bank,http://www.sasbdb.org,sasbdb.org,http://opig.stats.ox.ac.uk/webapps/sabdab,ac.uk,False,2.0,0.23,LOW
GABC,gaad,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Genome Atlas for Breast Cancer,,,http://gaad.medgenius.info,medgenius.info,False,2.0,0.0,LOW
BioCyc,bionic,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Biocyc Database Collection,,,http://onto-apps.stanford.edu/bionic,stanford.edu,False,2.0,0.0,LOW
MiGA,mist,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Microbial Genomes Atlas,http://microbial-genomes.org/,microbial-genomes.org,http://mistdb.com,mistdb.com,False,2.0,0.32,LOW
ChemProps,chemprot,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Chemical Properties Database,,,http://potentia.cbs.dtu.dk/ChemProt,dtu.dk,False,2.0,0.0,LOW
SMID,smpdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Socio-Moral Image Database,https://osf.io/2rqad/,osf.io,http://www.smpdb.ca,smpdb.ca,False,2.0,0.3,LOW
ASGARD,asrd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Annotated Transcriptomes Database,,,http://ipf.sustech.edu.cn/pub/asrd,edu.cn,False,2.0,0.0,LOW
dbWFA,dbwgfp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Wheat Functional Annotation Database,,,http://bioinfo.au.tsinghua.edu.cn/dbwgfp,edu.cn,False,2.0,0.0,LOW
RVDB,rvs,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Reference Viral Database,,,http://rvs.u.hpc.mssm.edu,mssm.edu,False,2.0,0.0,LOW
VHRD,vhldb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Viral Host Range Database,https://viralhostrangedb.pasteur.cloud,pasteur.cloud,http://vhldb.bio.unipd.it,unipd.it,False,2.0,0.29,LOW
MAAFS,maps,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Moral and Affective Film Set,,,http://www.mapsdatabase.com,mapsdatabase.com,False,2.0,0.0,LOW
DENVirDB,denvind,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Dengue Virus Database,,,http://webs.iiitd.edu.in/raghava/denvind,edu.in,False,2.0,0.0,LOW
PATRN,patric,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Pathogen-Annotated Tracking Resource Network,http://www.patrn.net,patrn.net,http://www.patricbrc.org,patricbrc.org,False,2.0,0.45,LOW
Spfy,spwp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Specify database,,,http://www.seed-proteome.com,seed-proteome.com,False,2.0,0.0,LOW
ForC,foam,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Forest Carbon database,,,http://portal.nersc.gov/project/m1317/FOAM,nersc.gov,False,2.0,0.0,LOW
GTDB,gtrd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,GlycosylTransferase DataBase,,,http://gtrd.biouml.org,biouml.org,False,2.0,0.0,LOW
MPIC,mppi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Molecular Prognostic Indicators in Cirrhosis,http://www.mpic-app.org,mpic-app.org,http://bis.zju.edu.cn/mppi,edu.cn,False,2.0,0.19,LOW
ATAV,atmad,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,ATAV,http://atavdb.org/,atavdb.org,http://www.megabionet.org/atmad,megabionet.org,False,2.0,0.4,LOW
OncoPaD,oncoppi,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Oncology Panel Designer,http://www.intogen.org/oncopad,intogen.org,http://oncoppi.emory.edu,emory.edu,False,2.0,0.33,LOW
RR3DD,rrdb,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,RNA 3D structural classification Database,,,http://huanglab.phys.hust.edu.cn/RRDbenchmark,edu.cn,False,2.0,0.0,LOW
WoRMS,wom,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,World Register of Marine Species,,,http://webofmicrobes.org,webofmicrobes.org,False,2.0,0.0,LOW
OASIS,oas,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Open Affective Standardized Image Set,https://db.tt/yYTZYCga,db.tt,http://opig.stats.ox.ac.uk/webapps/oas,ac.uk,False,2.0,0.13,LOW
BioNØT,bionic,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Biomedical Negated sentences database,http://bionot.askhermes.org/,askhermes.org,http://onto-apps.stanford.edu/bionic,stanford.edu,False,2.0,0.16,LOW
MDMPR,mdp,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Mouse Developmental and Metabolic Phenotype Repository,,,http://mdp.unimore.it,unimore.it,False,2.0,0.0,LOW
snoDB,snopy,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,snoRNA Database,,,http://snoopy.med.miyazaki-u.ac.jp,ac.jp,False,2.0,0.0,LOW
oTAED,otd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Omega-Transaminase Engineering Database,,,http://www.eumicrobedb.org/transcripts,eumicrobedb.org,False,2.0,0.0,LOW
efam,efg,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Expanded Metaproteome-Supported HMM Profile Database,,,http://csb.shu.edu.cn/efg,edu.cn,False,2.0,0.0,LOW
CGAP,cgmd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Chloroplast Genome Analysis Platform,http://www.herbbol.org:8000/chloroplast,herbbol.org:8000,http://cgmd.in,cgmd.in,False,2.0,0.06,LOW
SAMT,sagd,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,South Australian Macrobenthic Traits Database,,,http://bioinfo.life.hust.edu.cn/SAGD,edu.cn,False,2.0,0.0,LOW
COSMOS,cosmic,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,COSMOS,,,http://cancer.sanger.ac.uk,ac.uk,False,2.0,0.0,LOW
IRNdb,ird,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Immunologically Relevant Non-coding RNA Database,http://irndb.org,irndb.org,http://www.fludb.org,fludb.org,False,2.0,0.67,LOW
dbTMM,dbtss,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Tohoku Medical Megabank Database,,,http://dbtss.hgc.jp,hgc.jp,False,2.0,0.0,LOW
FuncPEP,funcoup,edit_dist=2,N,0.5,Score=0.5: edit_dist=2,Functional Peptide Database,,,http://funcoup.sbc.su.se,su.se,False,2.0,0.0,LOW
